ID,Name,Class,Number
34000,Alan,1,1
34001,Anan,1,2
34002,Anest,1,3
34003,Ajeab,1,4
34004,Apoj,1,5
34005,Apae,1,6
34006,Achan,1,7
34007,Aying,1,8
34008,Akung,1,9
34009,Akrung,1,10
34010,Aart,1,11
34011,Arit,2,1
34012,Atong,2,2
34013,Abew,2,3
34014,Aprach,2,4
34015,Ajew,2,5
34016,Agig,2,6
34017,Ajom,2,7
34018,Alice,2,8
34019,Adale,3,1
34020,Amay,3,2
34021,Apec,3,3
34022,Ator,3,4
34023,Ajim,3,5
34024,Anelka,3,6
34025,Adebayor,3,7
34026,Aday,3,8
34027,Abandon,3,9
34028,Abook,3,10
34029,Aberdine,3,11
34030,Araiwa,3,12
